web-scraper-order,web-scraper-start-url,Links de cada linha,Links de cada linha-href,Nome da linha,Nome da rua
"1616976816-200","https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-lines-Recife-1662-774895","517 Córrego do Inácio","https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-line-517_C%C3%93RREGO_DO_IN%C3%81CIO-Recife-1662-774895-498122-0","517 Córrego do Inácio",""
"1616976486-67","https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-lines-Recife-1662-774895","1981 TI Rio Doce (Conde da Boa Vista)","https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-line-1981_TI_RIO_DOCE_CONDE_DA_BOA_VISTA-Recife-1662-774895-601888-0","1981 TI Rio Doce (Conde da Boa Vista)",""
"1616977160-327","https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-lines-Recife-1662-774895","103 UR-11 / TI Barro","https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-line-103_UR_11_TI_BARRO-Recife-1662-774895-582456-0","103 UR-11 / TI BARRO",""
"1616976565-99","https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-lines-Recife-1662-774895","1934 Arthur Lundgren I / TI Pelópidas","https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-line-1934_ARTHUR_LUNDGREN_I_TI_PEL%C3%93PIDAS-Recife-1662-774895-484380-0","1934 Arthur Lundgren I / TI Pelópidas",""
"1616976449-52","https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-lines-Recife-1662-774895","2402 Parque Capibaribe / Caxangá","https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-line-2402_PARQUE_CAPIBARIBE_CAXANG%C3%81-Recife-1662-774895-292903-0","2402 PARQUE CAPIBARIBE / CAXANGÁ",""
"1616976994-267","https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-lines-Recife-1662-774895","202 TI Barro / TI Macaxeira (Várzea)","https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-line-202_TI_BARRO_TI_MACAXEIRA_V%C3%81RZEA-Recife-1662-774895-482398-0","202 TI BARRO / TI MACAXEIRA (VÁRZEA)",""
"1616976712-159","https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-lines-Recife-1662-774895","743 Alto José Bonifácio (João de Barros)","https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-line-743_ALTO_JOS%C3%89_BONIF%C3%81CIO_JO%C3%83O_DE_BARROS-Recife-1662-774895-698239-0","743 Alto José Bonifácio (João de Barros)",""
"1616976479-64","https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-lines-Recife-1662-774895","1984 Loteamento Bonfim / TI Abreu e Lima","https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-line-1984_LOTEAMENTO_BONFIM_TI_ABREU_E_LIMA-Recife-1662-774895-516842-0","1984 LOTEAMENTO BONFIM / TI ABREU E LIMA",""
"1616976462-57","https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-lines-Recife-1662-774895","1994 Conjunto Beira Mar","https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-line-1994_CONJUNTO_BEIRA_MAR-Recife-1662-774895-292745-0","1994 CONJUNTO BEIRA MAR",""
"1616976626-124","https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-lines-Recife-1662-774895","910 Barra de Jangada / TI Rio Doce","https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-line-910_BARRA_DE_JANGADA_TI_RIO_DOCE-Recife-1662-774895-4708692-0","910 Barra de Jangada / TI Rio Doce",""
"1616976705-156","https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-lines-Recife-1662-774895","746 Alto do Capitão","https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-line-746_ALTO_DO_CAPIT%C3%83O-Recife-1662-774895-695465-0","746 Alto do Capitão",""
"1616976977-260","https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-lines-Recife-1662-774895","211 Vila Tamandaré","https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-line-211_VILA_TAMANDAR%C3%89-Recife-1662-774895-292668-0","211 Vila Tamandaré",""
"1616976917-237","https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-lines-Recife-1662-774895","261 TI Jaboatão / Vila Piedade","https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-line-261_TI_JABOAT%C3%83O_VILA_PIEDADE-Recife-1662-774895-646494-0","261 TI Jaboatão / Vila Piedade",""
"1616976806-196","https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-lines-Recife-1662-774895","523 Dois Irmãos (Bacurau)","https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-line-523_DOIS_IRM%C3%83OS_BACURAU-Recife-1662-774895-292775-0","523 DOIS IRMÃOS (BACURAU)",""
